Nom du lieu;Nom du porteur;Adresse mail;Type de porteur;Détail du type de porteur;Adresse;Code postal;Commune;Code INSEE;Numéro de téléphone;Site web;Descriptif;Logo;Photo;Public;Accès;Restrictions d'usage;Tarif(s);Horaires du lundi;Horaires du mardi;Horaires du mercredi;Horaires du jeudi;Horaires du vendredi;Horaires du samedi;Horaires du dimanche;Complément sur les horaires;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;Complément sur les équipements;Formation;Accompagnement individuel;Fourniture d'équipement;Complément sur les services;Compte InfoLocale;Localisation;Clé;Date de saisie;Date d'enregistrement;Date de modification;Services;Équipements;Ordinateur(s) libellé;Tablette(s) libellé;Scanner(s) libellé;Imprimante(s) libellé;Borne(s) CAF libellé;Connexion Wi-Fi libellé;Formation libellé;Accompagnement individuel individuel libellé;Fourniture d'équipement libellé
Maison de l'emploi Derval;Maison de l'emploi de Derval;mde.payschbt.derval@orange.fr;Institution;;14 rue de la Garlais;44590;Derval;44051;0240818226;http://www.mde-chateaubriant-derval.fr/site-de-derval/;;;;tout public;;uniquement pour les recherches d'emploi;gratuit;9h-12h30;9h-12h30  13h30-17h;9h-12h30;9h-12h30  13h30-17h;9h-12h30  13h30-17h;fermé;fermé;;1;0;0;0;0;1;;1;1;0;;;47.668489, -1.670259;M4UT-94RV;2019-11-02T15:39:35+01:00;2019-11-02T15:39:35+01:00;2019-11-02T15:39:40+01:00;Formation,Accompagnement individuel;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;Formation;Accompagnement individuel;
CCAS Grandchamp des fontaines;CCAS Grandchamp des fontaines;contact@grandchampdesfontaines.fr;Institution;;25 avenue Général de Gaulle;44119;Grandchamps-des-Fontaines;44066;0240771326;http://www.grandchampdesfontaines.fr/mairie/services-municipaux-1999/ccas-301.html?cHash=f7a91b93291d711ac66f686a531a2273;Centre Communal d'Action Sociale situé dans la mairie.;;;tout public;;;gratuit;9h-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;9h-12h;fermé;;1;0;0;0;0;0;1 poste à l'entrée de la mairie avec internet;0;0;0;;;47.364335, -1.60597;GM5E-6FAJ;2019-11-02T15:25:00+01:00;2019-11-02T15:25:00+01:00;2019-11-02T15:25:08+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
CoworKlisson;CoworKlisson;asso@coworklisson.fr;Association;;1 route de Saint Fiacre;44190;Gorges;44064;;https://www.coworklisson.fr;"L'association a pour objet de fédérer une communauté de travailleurs indépendants au sein de l'agglomération Clisson Sèvres et Maine avec 3 objectifs: 
- créer un lieu convivial et chaleureux de coworking
- partage de compétences";;;travailleurs indépendants;proche gare de Gorges;;50€/an;;;;;;;;sur demande et adhésion;0;0;0;0;0;1;;1;0;0;Espace de coworking pour les travailleurs indépendants;;47.100089, -1.306367;CC8E-MVS8;2019-11-02T15:40:33+01:00;2019-11-02T15:40:33+01:00;2019-11-02T15:40:39+01:00;Formation;Connexion Wi-Fi;;;;;;Connexion Wi-Fi;Formation;;
Clic n' puce;Clic n' puce;;Association;;5 rue des Tilleuls Z.A. , Les Bauches;44460;Saint-Nicolas-de-Redon;44185;0299713142;http://clicnpuces.fr;Reconditionnement de matériel informatique et revente au pubic;;;tout public;;;;8h-17h;8h-17h;8h-17h;8h-17h;8h-17h;fermé;fermé;;0;0;0;0;0;0;;0;0;1;Revente de matériel informatique d'occasion.;;47.629055, -2.055958;9WAE-NRFX;2019-11-02T16:01:56+01:00;2019-11-02T16:01:56+01:00;2019-11-02T16:02:02+01:00;Fourniture d'équipement;;;;;;;;;;Fourniture d'équipement
Médiathèque Jacques Lambert;;mediatheque@mairie-pornichet.fr;Bibliothèque / Médiathèque;;place du Marché;44380;Pornichet;44132;0251732222;mediatheque.ville-pornichet.com;;;;tout public;;;gratuit;fermé;10h- 12h30 15h30-18h00;10h-12h30 15h30-18h00;10h-14h;10h-12h30 15h30-19h;10h-12h30 15h30-18h;fermé;;1;0;0;1;0;1;6 ordinateurs, ateliers collectif, papier non fourni pour l'imprimante;1;1;1;;;47.268875, -2.346376;2W3F-AF34;2018-12-18T16:08:55+01:00;2018-12-18T16:20:02+01:00;2019-11-02T15:52:11+01:00;Formation,Accompagnement individuel,Fourniture d'équipement;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;Fourniture d'équipement
Mission locale Saint-Gildas-des-bois;Mission locale Saint-Gildas-des-bois;secretariat@ml-sillon.org;Association;;17 rue des Forges;44530;Saint-Gildas-des-Bois;44161;0240015584;http://www.cc-paysdepontchateau.fr/contacts/mission-locale-rurale-du-sillon;;;;16-25 ans;;;gratuit;8h30-17h30;8h30-17h30;8h30-17h30;14h-17h30;8h30-16h30;;;;1;0;0;1;0;1;4 Ordinateur Wifi et accès Imprimante;1;1;0;Accompagnement Garantie Jeunes;;47.512567, -2.039158;X6HX-59KZ;2018-12-21T11:39:03+01:00;2018-12-21T11:49:04+01:00;2019-11-02T15:55:51+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiathéque du Plessé;Médiathéque du Plessé;mediatheque@mairie-plesse.fr;Bibliothèque / Médiathèque;;3 Espace des Trois Lieux;44630;Plessé;44128;0240797668;http://www.mairie-plesse.fr/module-Contenus-viewpub-tid-2-pid-104.html;;;;tout public;non;non;14€ annuel / gratuit : -18 ans, étudiants, bénéficiaires minima sociaux et demandeurs d'emploi;fermé;16h00-18h00;10h30-12h00 14h00-18h30;16h00-18h00;16h00-19h00;fermé;fermé;;1;0;0;0;0;0;4 ordinateur en libre service , limité a 1 heure par personnes et par jour;0;0;0;;;47.542975, -1.886009;29GH-HJ89;2018-12-04T12:14:12+01:00;2019-11-02T15:51:27+01:00;2019-11-02T15:51:35+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Bibliothèque de Masserac;Bibliothèque de Masserac;mediatheque-masserac@orange.fr;Bibliothèque / Médiathèque;;1 rue Saint Benoît;44290;Massérac;44092;0240793512;http://mediatheques.redon-agglomeration.bzh/index.php?option=com_content&view=article&id=490:masserac&catid=14:vos-mediatheques&Itemid=33;Espace de lecture et d'accès numérique.;;;tout public;;;gratuit;fermé;fermé;15h-17;fermé;fermé;10h-12h;fermé;jeudi: journée scolaire;1;0;0;0;0;1;;0;0;0;;;47.672824, -1.914756;J45U-WVA4;2018-12-04T12:30:28+01:00;2019-11-02T15:35:23+01:00;2019-11-02T15:35:34+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Médiathèque Georges Sand;Médiathèque de Besné;bibliotheque.besne@wanadoo.fr;Bibliothèque / Médiathèque;;25 rue de la Mairie;44160;Besné;44013;0240617635;http://mediatheque.besne.fr;Bibliothèque municipale à deux pas de la Mairie et de l’Église.;;;tout public;;;gratuit;;15h-19h;10h-12h30 15h-18h;;15h-19h;10h-12h30;;;1;0;0;1;0;1;Accès imprimante en noir et blanc;0;1;0;;;47.396261, -2.092266;6KEX-H59W;2018-12-21T10:48:03+01:00;2018-12-21T10:58:28+01:00;2019-11-02T15:31:11+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
CSC lamano de Nozay;CSC lamano de Nozay;lamano@wanadoo.fr;Association;;Le Patis Jourdeau;44170;Nozay;44113;02 40 79 35 04;http://lamano.centres-sociaux.fr/;;;;tout public;arrêt gendarmerie ligne 10 , 10E, 44;;adhésion individuelle -18 ans: 8 €          adhésion individuelle +18 ans : 10€          adhésion familial  : 15€;fermé;14h00-18h00;9h15-12h30 14h00-18h00;9h15-12h30 14h00-18h00;14h00-18h00;9h00-12h30;fermé;;1;0;0;0;0;0;;0;0;0;;;47.561557, -1.620042;ZTSP-88WG;2018-12-04T12:32:17+01:00;2019-11-02T15:32:34+01:00;2019-11-02T15:32:44+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Bibliothèque de Saffré;Bibliothèque de Saffré;;Bibliothèque / Médiathèque;;26 avenue du Château;44390;Saffré;44149;02 51 81 56 62;http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1;;;;tout public;non;non;tarif:-20ans gratuit +20ans:7€ +20ans et hors CCRN : 10€;fermé;16h00-18h30;10h00-12h30 15h00-18h30;fermé;16h00-19h00;"10h00-12h30
15h00-17h00";fermé;;1;0;0;0;0;0;;0;0;0;;;47.500474, -1.578913;RYNA-8NMR;2018-05-31T13:27:45+02:00;2018-05-31T13:41:37+02:00;2019-11-02T15:54:07+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Blibliothèque Saint-Julien-de-Vouvantes;Blibliothèque Saint-Julien-de-Vouvantes;;Bibliothèque / Médiathèque;;39 rue de la libération;44670;Saint-Julien-de-Vouvantes;44170;02 40 07 24 76;http://www.cc-castelbriantais.fr/reseau-des-bibliotheques;Lieu de lecture et d’activités.;;;tout public;;;gratuit;;fermé;14h-16h;14h-15h30;fermé;10h30-12h;fermé;Fermé le jeudi pendant les vacances scolaires.;1;0;0;0;0;0;;0;0;0;;;47.641817, -1.240131;KP7E-CS79;2018-05-31T12:37:53+02:00;2018-05-31T12:44:15+02:00;2019-11-02T15:57:36+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Blibliothèque Issé;Blibliothèque Issé;;Bibliothèque / Médiathèque;;2 rue du chêne piraud;44520;Issé;44075;0240551756;http://www.cc-castelbriantais.fr/reseau-des-bibliotheques;Lieu de lecture et d'activités.;;;tout public;;;gratuit;fermé;16h-18h;13h30-17h;fermé;14h30-18h;10h30-12h;;;1;0;0;0;0;0;;0;0;0;;;47.622466, -1.452665;5BX7-RD8Q;2018-05-31T12:45:43+02:00;2018-05-31T12:48:41+02:00;2019-11-02T15:42:21+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Bibliothèque Le Pré aux Livres;Mairie d'Assérac;;Bibliothèque / Médiathèque;;14 rue de la Fontaine;44410;Assérac;44006;0240017286;www.asserac.fr;;;;tout public;;;gratuit;;10h-12h;16h30-18h30;;;14h-18h;;;1;0;0;0;0;0;;0;1;0;;;47.430686, -2.392177;RWWG-X2G7;2018-12-13T11:24:35+01:00;2018-12-13T11:28:32+01:00;2019-11-02T15:37:03+01:00;Accompagnement individuel;Ordinateur(s);Ordinateur(s);;;;;;;Accompagnement individuel;
Bibliothèque d’Oudon;Communauté de communes du Pays d'Ancenis;biblio.oudon@pays-ancenis.com;Bibliothèque / Médiathèque;;72 rue Alphonse Fouschard 44521 Oudon;44521;Oudon;44115;0240836195;http://bibliofil.pays-ancenis.fr/;Il s’agit d’une bibliothèque. Vous pouvez venir lire sur place ou emprunter des documents. Vous avez également accès à un point numérique.;;;tout public;Tain ( Gare de Oudon );;gratuit;fermé;fermé;10h-12h30 14h30-17h30;fermé;fermé;10h-12H30;10h-12h;;1;0;1;1;0;0;Des liseuses sont à disposition du public.;0;0;0;;;47.346133, -1.28674;CSS8-AZ57;2019-01-22T15:27:28+01:00;2019-01-22T15:47:56+01:00;2019-11-02T15:51:23+01:00;;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;;;
Relais CAF;Maison de services au public Guenrouet ( Bureau de Poste);msap.guenrouet@laposte.fr;Institution;;4 rue de la Roche buttée;44530;Guenrouet;44068;;https://www.maisondeservicesaupublic.fr/content/guenrouet-bureau-de-poste;;;;tout public;;uniquement recherche adminastrive;gratuit;14h-17h;9h-16h45;9h-17h;9h-17h;9h-17h;9h-12h;;;1;0;1;1;0;1;Visio conférence, Photocopieuse;0;1;0;;;47.519266, -1.954992;7BNY-MCGF;2019-01-29T16:07:55+01:00;2019-01-29T16:32:33+01:00;2019-11-02T15:41:18+01:00;Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Bibliothèque La Forge aux livres;Communauté de communes du Pays d'Ancenis;biblio.couffe@pays-ancenis.com;Bibliothèque / Médiathèque;;7 rue Saint Jérôme;44521;Couffé;44048;0240963728;http://bibliofil.pays-ancenis.fr/;Il s’agit d’une bibliothèque. Vous pouvez venir lire sur place ou emprunter des documents. Vous avez également accès à un point numérique.;;;tout public;;;gratuit;fermé;fermé;15h-17h30;fermé;16h30-18h30;10h-12h;11h-12h30;;1;0;1;1;0;0;Des liseuses sont à disposition du public.;0;0;0;;;47.3921, -1.290493;WM43-Y8L7;2019-01-23T11:15:41+01:00;2019-01-23T11:27:55+01:00;2019-11-02T15:39:31+01:00;;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;;;
Pôle emploi;Pôle emploi La Baule Guerande;;Institution;;3 bis avenue des Noëlles;44500;La Baule-Escoublac;44055;09 72 72 39 49;https://www.pole-emploi.fr/annuaire/la-baule-guerande-44016;;;;demandeurs d'emploi;;uniquement pour les reherches d'emploi, sous inscription;gratuit;8h30-12h30 12h30-16h30;8h30-12h30 12h30-16h30;8h30-12h30 12h30-16h30;8h30-12h30;8h30-12h30 12h30-15h30;;;;1;0;0;1;0;0;;0;0;0;;;47.291756, -2.395076;EY4Z-4HQZ;2019-01-29T12:56:01+01:00;2019-01-29T12:59:19+01:00;2019-11-02T15:43:02+01:00;;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;;
"Bibliothèque municipale ""Le Pot a Mots""";"Bibliothèque municipale ""Le Pot a Mots""";bibliotheque@stluminedecoutais.fr;Bibliothèque / Médiathèque;;place Notre Dame du Chatelier;44310;Saint-Lumine-de-Coutais;44174;0240029456;;;;;tout public;;;;Fermé;Fermé;16H-18H;16H-19h;Fermé;10H-12H;10H-12H;;0;0;0;0;0;0;;0;0;0;;;47.055314, -1.726901;BJRQ-2G8E;2019-10-01T16:21:12+02:00;2019-10-01T16:27:45+02:00;2019-11-02T15:59:08+01:00;;;;;;;;;;;
Centre Médico-Social;Centre Médico-Social;;Institution;;11 rue de l'Auditoire;44680;Sainte-Pazanne;44186;0228250980;;;;;tout public;;;gratuit;9h00-12h15 14h00-17h15;9h00-12h15 14h00-17h15;9h00-12h15 14h00-17h15;9h00-12h15;9h00-12h15 14h00-17h15;fermé;fermé;;0;0;0;0;0;0;;0;0;0;;;47.103582, -1.807201;SWRA-4TLY;2019-10-01T14:13:50+02:00;2019-10-01T14:18:23+02:00;2019-11-02T15:55:06+01:00;;;;;;;;;;;
Bibliothèque municipale Reaymond Devos;Bibliothèque municipale Reaymond Devos;bm.lesmoutiersenretz@orange.fr;Bibliothèque / Médiathèque;;rue des Lutins;44760;Les Moutiers-en-Retz;44106;0240827577;;;;;;;;;10H00-12H-30;Fermé;16H-18H30;Fermé;Fermé;10H00-12H30;Fermé;;0;0;0;0;0;0;;0;0;0;;;47.064238, -1.999627;RE2M-QLDF;2019-10-01T16:53:07+02:00;2019-10-01T16:56:34+02:00;2019-11-02T15:46:50+01:00;;;;;;;;;;;
Médiathèque Luce Courville;Médiathèque Luce Courville;;Bibliothèque / Médiathèque;;1 rue Eugène Thomas;44300;Nantes;44109;0240160550;https://bm.nantes.fr/home/pratique/adresses-et-horaires-1/mediatheque-luce-courville.html;La médiathèque Luce Courville est un espace de culture, de loisirs, d'éducation mais aussi de médiation numérique. Les locaux sont accessibles à tous, et les usagers peuvent s'y rendre pour effectuer leurs démarches numériques ( mails, démarches administratives, recherches, etc ).;;;tout public;"tram ligne 2 - arrêt ""chêne des anglais"" / chronubus C2 - arrêt "" chêne des anglais""";;impression : 1€ pour 10 impressions/photocopies;fermé;13h30-18h;10h-18h;13h30-19h;13h30-19h;10h-17h;fermé;;1;0;0;1;0;1;9 ordinateurs à disposition;1;1;0;ateliers individuels de 45mn minimum tous les jeudis de 15h45 à 17h45 ( sur inscription ) pour se familiariser avec l'informatique et effectuer des démarches sur internet.;;47.26168, -1.574329;NQTT-NAV3;2019-12-02T11:11:21+01:00;2019-12-02T11:11:21+01:00;2019-12-02T11:12:07+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Ecocyclerie du Vignoble Nantais;EcoCyclerie du Vignoble Nantais;ecvnvallet@orange.fr;Association;;14 route de l'industrie, ZI des Dorices;44330;Vallet;44212;0240432855;http://ecocyclerieduvignoblenantais.blogspot.fr/;"Boutique solidaire vendant des produits de seconde main à bas coût, dont du matériel informatique et des pièces détachées d'ordinateur.
Possibilité de déposer des objets divers via des apports volontaires ou via une collecte à domicile.
Lieu de vie et de réinsertion, favorisant la réduction des déchets.";ecvn_logo_ecn_vert.jpg;;tout public;;;ordinateur vendu à partir de 40€ environ;fermé;fermé;14h30-18h;fermé;fermé;9h30-12h30  14h30-18h;fermé;ouvert toute l'année sauf jours fériés;1;0;0;0;0;0;;0;0;1;vente de matériel informatique d'occasion, testé, en état de marche, sous logiciels libres. Vente de pièces détachées;A partir du 21 mars, vente en plein air : vélos, campings, mobilier, jeux à l'EcoCyclerie de Vallet;47.178734, -1.259654;KP28-YLHG;2019-11-02T16:05:50+01:00;2019-11-02T16:05:50+01:00;2019-11-02T16:05:57+01:00;Fourniture d'équipement;Ordinateur(s);Ordinateur(s);;;;;;;;Fourniture d'équipement
