	adresse	code_postal	horaires	lat	lng	nom_structure	services	telephone	ville
40	13 rue Raoul Lambert	26340	"Ouvert du lundi au vendredi 
9h-12h 14h-18h"	44.6971525	5.1969657	Le Forum	Traitement de texte : Découverte / Organiser, explorer et partager des contenus numériques / Poste informatique Windows / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Techniques de vérification de l’information / Internet : fonctionnement et outils de navigation web / Internet : comprendre les principes de fonctionnement	04 75 22 31 71	Saillans
41	2 FERRON	33860		45.24311	-0.444616	NTICONSEIL	Organiser sa recherche d'emploi / Découvrir les métiers du numérique / Diffuser son CV en ligne / Connaitre et gérer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Utiliser des cartes, capteurs et outils interactifs / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Modélisation 3D / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Images : retoucher ses photos / Découvrir et expérimenter la programmation informatique (code) / Créer, paramétrer et utiliser une liste de diffusion / Créer un site web avec WordPress / Les solutions libres pour Les outils bureautiques / Les outils libres pour gérer ses emails / Organiser et partager sa veille / Twitter : Découverte / Twitter : Approfondissement / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Tableur : Découverte / Suivre la scolarité de son enfant / Snapchat / Smartphone : Réglage et configuration de l'appareil / Smartphone : Télécharger une application sur les stores / Smartphones et Tablettes sous Androïd / Poste informatique Windows / Poste informatique Linux / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Instagram : Appronfondissement / Instagram : Découverte / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Appronfondissement / Facebook : Découverte / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Découvrir des alternatives libres et gratuits aux logiciels / Pôle Emploi : faire ses déclarations en ligne / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Déclarer ses revenus en ligne et découvertes des services proposés / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama des outils de travail collaboratif / Panorama de la création artistique numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Découvrir les réseaux sociaux : définition, fonctionnement / Techniques de vérification de l’information / Les paiements en ligne / Les outils de protection de l’enfance / Principes et fonctionnement du cloud / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Fonctionnement d’une box internet / Big Data / Open Data : comprendre les données	06.85.57.94.78	
42	1 route de VALS	09500		43.0933563	1.7252803	Orditux Informatique	Utilisation d'un emplacement de co-working / Découvrir les métiers du numérique / Diffuser son CV en ligne / Services et plateformes de démocratie participative / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Images : retoucher ses photos / Découvrir et participer à des MOOCs / Créer, paramétrer et utiliser une liste de diffusion / Créer un site web avec WordPress / Les solutions libres pour Les outils bureautiques / Les outils libres pour la navigation Internet / Les outils libres pour gérer ses emails / Les outils disponibles pour sécuriser ses usages numériques / Les alternatives à Google Drive / Les alternatives à Facebook / Utiliser et contribuer à Wikipedia / Twitter : Découverte / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Découverte / Suivre la scolarité de son enfant / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Poste informatique Windows / Poste informatique Linux / Organiser, explorer et partager des contenus numériques / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Facebook : Découverte / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme Ameli.fr : la sécurité sociale en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Panorama des plateformes d’économie collaborative / Panorama des outils de travail collaboratif / Les mécanismes excessifs ou addictifs liés au numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Téléphonie : comprendre et comparer des offres mobiles / Neutralité du net : de quoi parle-t-on ? / Les paiements en ligne / Les licences libres / Les biens communs : principes et enjeux / Le logiciel libre : principes et enjeux	06.18.56.60.83	
43	7 chemin de la Cuaz	38460		45.7338272	5.316323	Oxalis	PAO : publier des présentations / diaporamas en ligne / Créer un site web avec WordPress / Découvrir et contribuer à OpenStreetMap / Twitter : Approfondissement / Smartphones et Tablettes sous Androïd / Images : retoucher ses photos / PAO : faire des présentations, des diaporamas / Facebook : Découverte / Facebook : Appronfondissement / Twitter : Découverte / Photo numérique : usages courants (prise de vue, réglages) / Classer, gérer et partager ses photos / Images : gérer ses photos en ligne / Google Drive : Utilisation / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Internet : envoyer, recevoir, gérer ses emails / Transférer des fichiers volumineux / Organiser, explorer et partager des contenus numériques / Gérer ses favoris de navigation / Poste informatique Windows / Poste informatique Mac OS / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Google Drive et solutions alternatives / Le logiciel libre : principes et enjeux / Le smartphone : principes de fonctionnement / Découvrir les réseaux sociaux : définition, fonctionnement / Principes et fonctionnement du cloud / Vidéo : découvrir le montage vidéo	0670724474	Siccieu-Saint-Julien-et-Carisieu
44	31 Rue Julien FEUVRIER	39100	Centre de formation pour adultes ouvert du lundi au vendredi de 09h00 à 18h00. En soirée et le samedi matin sur demande.	47.0847086	5.4981377	SAVOIRS ET FORMATION	Découvrir et participer à des MOOCs / Les solutions libres pour Les outils bureautiques / Découvrir des alternatives libres et gratuits aux logiciels / Utilisation d'un emplacement de co-working / Organiser sa recherche d'emploi / Découverte et usage de l’emploi Store / Diffuser son CV en ligne / Packs n°1 / Nettoyer son identité numérique / Connaitre et gérer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Les outils libres pour gérer ses emails / Les outils libres pour la navigation Internet / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Tableur : Découverte / Suivre la scolarité de son enfant / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Les applications clés / Smartphones et Tablettes sous Androïd / Poste informatique Windows / Organiser, explorer et partager des contenus numériques / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Gérer ses favoris de navigation / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Google Drive : Utilisation / Créer et paramétrer un compte Google / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des outils de webconférence / Panorama des outils de travail collaboratif / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir les réseaux sociaux : définition, fonctionnement / Composantes et facettes de l’identité numérique / Le smartphone : principes de fonctionnement / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Fonctionnement d’une box internet	09.50.48.08.84	DOLE
45	Chateau de Palmer, rue Aristide Briand	33150	Du lundi au vendredi de 10h à 18h	44.8616237	-0.5257664	UNISPHÈRES 	Services et plateformes de démocratie participative / Tableur : Utilisation avancée / Smartphone : Les principaux gestes pour l'écran tactile / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Panorama des usages numériques des adolescents / Techniques de vérification de l’information / Neutralité du net : de quoi parle-t-on ? / Les paiements en ligne / Les licences libres / Internet : comprendre une offre internet / Utilisation d'un emplacement de co-working / Organiser sa recherche d'emploi / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Vidéo : découvrir le montage vidéo / Utiliser des cartes, capteurs et outils interactifs / Savoir pitcher son projet en 5 minutes / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Créer un site web avec WordPress / Les outils libres pour gérer ses emails / Utiliser et contribuer à Wikipedia / Organiser et partager sa veille / Twitter : Découverte / Twitter : Approfondissement / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Découverte / Smartphone : Environnement IOS / Smartphone : Les applications clés / Smartphone : Les fonctionnalités de base / Smartphone : Réglage et configuration de l'appareil / Smartphone : Télécharger une application sur les stores / Skype / Signer numériquement des documents administratifs / Poste informatique Windows / Poste informatique Mac OS / Organiser, explorer et partager des contenus numériques / Marchés publics : Signer numériquement ses réponses / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Instagram : Appronfondissement / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Facebook : Découverte / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme Ameli.fr : la sécurité sociale en ligne / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama d’usages créatifs du numérique / Panorama des plateformes d’économie collaborative / Panorama des plateformes de recherche d’emploi / Panorama des outils de webconférence / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Comprendre les cultures numériques : usages collaboratifs / Comprendre les cultures numériques : les jeux vidéos  / Diffuser son CV en ligne / Le logiciel libre : principes et enjeux / Connaitre et gérer son identité numérique / Google Drive : Utilisation / Facebook : Appronfondissement / Panorama des outils de travail collaboratif / Panorama de la création artistique numérique / Découvrir l’univers des jeux vidéos	06.22.33.21.42	Cenon
46	78 rue Jean Jaurès	26190		45.0154503	5.2911224	Centre Ressources Multimédia- Association les Tracols	Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Utiliser des outils de cartographie / Smartphone : Environnement IOS / Nettoyer son identité numérique / Créer, paramétrer et utiliser une liste de diffusion / Les outils disponibles pour sécuriser ses usages numériques / Diffuser son CV en ligne / Organiser sa recherche d'emploi / Découverte et usage de l’emploi Store / Les solutions libres pour Les outils bureautiques / Les outils libres pour gérer ses emails / Les alternatives à Google Drive / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Utiliser et contribuer à Wikipedia / Connaitre et gérer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Smartphone : Les applications clés / PAO : faire des présentations, des diaporamas / Découverte et utilisation imprimante 3D / Smartphone : Les fonctionnalités de base / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphones et Tablettes sous Androïd / Smartphone : Les principaux gestes pour l'écran tactile / Tableur : Découverte / Tableur : Utilisation de base / Skype / Traitement de texte : Découverte / Traitement de texte : Utilisation de base / Classer, gérer et partager ses photos / Facebook : Découverte / Internet : envoyer, recevoir, gérer ses emails / Transférer des fichiers volumineux / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Poste informatique Linux / Internet : paramétrer un réseau wifi / Poste informatique Windows / Poste informatique Mac OS / Suivre la scolarité de son enfant / Créer et paramétrer un compte Google / Gérer ses favoris de navigation / Découvrir des alternatives libres et gratuits aux logiciels / Fonctionnement des plateformes de musique et de film en ligne / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Les conduites à risques et les bons usages du numérique / Composantes et facettes de l’identité numérique / Internet : fonctionnement et outils de navigation web / Internet : comprendre les principes de fonctionnement / Internet : comprendre un réseau wifi / Le smartphone : principes de fonctionnement / Techniques de vérification de l’information / Les paiements en ligne / Fonctionnement d’une box internet / Internet : comprendre une offre internet / Google Drive et solutions alternatives / Les outils de protection de l’enfance / Téléphonie : comprendre et comparer des offres mobiles	06.71.53.91.11	St Jean en Royans
47	Espace Mosaïque - 27 rue de benon	17170		46.2414268	-0.8139061	Centre Social Cantonal de Courçon - Espace Mosaïque	Découvrir les services en ligne de l'enfance de votre commune / Panorama des usages numériques des adolescents / Panorama d’usages créatifs du numérique / Plateforme France Connect / Plateforme La Poste : utiliser le coffre-fort en ligne / Marchés publics : Signer numériquement ses réponses / Utiliser et contribuer à Wikipedia / Découvrir et participer à des MOOCs / PAO : faire des présentations, des diaporamas / Services et plateformes de démocratie participative / Découverte et usage de l’emploi Store / Savoir pitcher son projet en 5 minutes / Organiser sa recherche d'emploi / Découvrir les métiers du numérique / Diffuser son CV en ligne / Nettoyer son identité numérique / Connaitre et gérer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Vidéo : découvrir le montage vidéo / Utiliser des cartes, capteurs et outils interactifs / PAO : publier des présentations / diaporamas en ligne / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Images : retoucher ses photos / Découverte et utilisation imprimante 3D / Découverte et utilisation d'une découpeuse numérique / Les solutions libres pour Les outils bureautiques / Les outils libres pour gérer ses emails / Les outils libres pour la navigation Internet / Les alternatives à Google Drive / Les alternatives à Facebook / Utiliser des outils de cartographie / Organiser et partager sa veille / Découvrir et contribuer à OpenStreetMap / Twitter : Découverte / Transférer des fichiers volumineux / Traitement de texte : Utilisation avancée / Traitement de texte : Utilisation de base / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Tableur : Découverte / Suivre la scolarité de son enfant / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Les applications clés / Smartphone : Environnement IOS / Smartphones et Tablettes sous Androïd / Skype / Poste informatique Windows / Poste informatique Mac OS / Poste informatique Linux / Photo numérique : usages courants (prise de vue, réglages) / Organiser, explorer et partager des contenus numériques / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Images : gérer ses photos en ligne / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses favoris de navigation / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Déclarer ses revenus en ligne et découvertes des services proposés / Panorama des plateformes de recherche d’emploi / Panorama des outils de travail collaboratif / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir l’univers des jeux vidéos / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Téléphonie : comprendre et comparer des offres mobiles / Principes et fonctionnement du cloud / Les paiements en ligne / Les outils de protection de l’enfance / Les licences libres / Le smartphone : principes de fonctionnement / Le logiciel libre : principes et enjeux / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Comprendre les cultures numériques : les jeux vidéos  / Comprendre les cultures numériques : usages collaboratifs / Fonctionnement d’une box internet / Internet : comprendre une offre internet	06.49.86.40.29	
48	361 rue Saint Nicolas	50400		48.832955	-1.5678192	Centre Social L'Agora - Espace Public numérique	Panorama d’usages créatifs du numérique / Le smartphone : principes de fonctionnement / Poste informatique Windows / Smartphone : Les fonctionnalités de base / Smartphone : Environnement IOS / Skype / Signer numériquement des documents administratifs / Smartphone : Les principaux gestes pour l'écran tactile / Smartphones et Tablettes sous Androïd / Smartphone : Les applications clés / Smartphone : Réglage et configuration de l'appareil / Smartphone : Télécharger une application sur les stores / Traitement de texte : Découverte / Snapchat / Suivre la scolarité de son enfant / Tableur : Découverte / Traitement de texte : Utilisation avancée / Tableur : Utilisation avancée / Tableur : Utilisation de base / Traitement de texte : Utilisation de base / Transférer des fichiers volumineux / Twitter : Approfondissement / Twitter : Découverte / Découvrir et contribuer à OpenStreetMap / Organiser et partager sa veille / Utiliser et contribuer à Wikipedia / Utiliser des outils de cartographie / Les alternatives à Facebook / Les alternatives à Google Drive / Les outils disponibles pour sécuriser ses usages numériques / Les outils libres pour gérer ses emails / Les outils libres pour la navigation Internet / Les solutions libres pour Les outils bureautiques / Créer un site web avec WordPress / Créer, paramétrer et utiliser une liste de diffusion / Découverte et utilisation d'une découpeuse numérique / Découverte et utilisation imprimante 3D / Découvrir et participer à des MOOCs / Images : retoucher ses photos / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Modélisation 3D / PAO : faire des présentations, des diaporamas / PAO : publier des présentations / diaporamas en ligne / Services et plateformes de démocratie participative / Utiliser des cartes, capteurs et outils interactifs / Vidéo : découvrir le montage vidéo / Connaitre et gérer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Nettoyer son identité numérique / Diffuser son CV en ligne / Découverte et usage de l’emploi Store / Découvrir les métiers du numérique / Organiser sa recherche d'emploi / Pinterest : Découverte / Pinterest : Appronfondissement / Marchés publics : Signer numériquement ses réponses / Photo numérique : usages courants (prise de vue, réglages) / Organiser, explorer et partager des contenus numériques / Outils numériques pour maîtriser sa consommation énergétique / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Instagram : Appronfondissement / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Facebook : Appronfondissement / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : utiliser le coffre-fort en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama des usages numériques des adolescents / Panorama des plateformes de recherche d’emploi / Panorama des outils de travail collaboratif / Panorama de la création artistique numérique / Marchés publics : panorama des plateformes / Les mécanismes excessifs ou addictifs liés au numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Fablab : charte, valeurs et panorama des outils numériques / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir l’univers des jeux vidéos / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Techniques de vérification de l’information / Téléphonie : comprendre et comparer des offres mobiles / Principes et fonctionnement du cloud / Neutralité du net : de quoi parle-t-on ? / Les outils de protection de l’enfance / Les paiements en ligne / Les monnaies virtuelles / Les licences libres / Les biens communs : principes et enjeux / Le logiciel libre : principes et enjeux / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Big Data / Open Data : comprendre les données / Fonctionnement d’une box internet / Comprendre les cultures numériques : usages collaboratifs / Comprendre les cultures numériques : les jeux vidéos 	02.33.50.96.06	
49	4, place Verdun	07320		45.0102687	4.3947409	centre socioculturel de Saint-Agrève		04.75.30.26.60	Saint-Agrève
50	9 rue de la forêt	31600		43.427365	1.2114235	CS Communication	Diffuser son CV en ligne / Utilisation d'un emplacement de co-working / Organiser sa recherche d'emploi / Découverte et usage de l’emploi Store / Les outils libres pour gérer ses emails / Les alternatives à Google Drive / Les alternatives à Facebook / Les outils disponibles pour sécuriser ses usages numériques / Réalisation CV / Utiliser des outils de cartographie / Connaitre et gérer son identité numérique / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Les solutions libres pour Les outils bureautiques / Les outils libres pour la navigation Internet / PAO : publier des présentations / diaporamas en ligne / Savoir pitcher son projet en 5 minutes / Créer un site web avec WordPress / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Organiser et partager sa veille / Utiliser et contribuer à Wikipedia / Outils numériques pour maîtriser sa consommation énergétique / Découvrir et participer à des MOOCs / Images : retoucher ses photos / Vidéo : découvrir le montage vidéo / PAO : faire des présentations, des diaporamas / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Signer numériquement des documents administratifs / Smartphones et Tablettes sous Androïd / Smartphone : Environnement IOS / Smartphone : Les applications clés / Tableur : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Skype / Traitement de texte : Découverte / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Instagram : Appronfondissement / Pinterest : Découverte / Pinterest : Appronfondissement / Snapchat / Facebook : Appronfondissement / Twitter : Découverte / Twitter : Approfondissement / Instagram : Découverte / Photo numérique : usages courants (prise de vue, réglages) / Classer, gérer et partager ses photos / Images : gérer ses photos en ligne / Facebook : Découverte / Organiser, explorer et partager des contenus numériques / Google Drive : Utilisation / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Poste informatique Mac OS / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Transférer des fichiers volumineux / Suivre la scolarité de son enfant / Créer et paramétrer un compte Google / Gérer ses favoris de navigation / Poste informatique Windows / Gérer ses droits d'assuré social en ligne/sur internet / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Plateforme Ameli.fr : la sécurité sociale en ligne / Découvrir des alternatives libres et gratuits aux logiciels / Pôle Emploi : faire ses déclarations en ligne / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Panorama des outils du cloud / Panorama des outils de travail collaboratif / Panorama des plateformes de recherche d’emploi / Fonctionnement des plateformes de musique et de film en ligne / Découvrir les services en ligne de l'enfance de votre commune / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Découvrir les réseaux sociaux : définition, fonctionnement / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama d’usages créatifs du numérique / Panorama de la création artistique numérique / Techniques de vérification de l’information / Les mécanismes excessifs ou addictifs liés au numérique / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Les conduites à risques et les bons usages du numérique / Les licences libres / Fonctionnement d’une box internet / Internet : comprendre une offre internet / Internet : comprendre les principes de fonctionnement / Le smartphone : principes de fonctionnement / Google Drive et solutions alternatives / Les outils de protection de l’enfance / Téléphonie : comprendre et comparer des offres mobiles / Les paiements en ligne / Le logiciel libre : principes et enjeux / Comprendre les cultures numériques : usages collaboratifs / Principes et fonctionnement du cloud	0778686286	Lherm
