sourceur;full_address;Identifiant;Date de dernière modification;Nom;Label;Label Net-Public;Demande de labellisation Net-Public;Site Web;N° et libellé de voie;Code Insee commune;Code postal;Localité;Téléphone;Email;Latitude;Longitude;Précision;Personne à contacter;Services proposés;accompagnement;formation;acces libre;non;ACC NR;Nombre d'animateurs;Numéro DUI;Photo;Statut;Autre label;N° et libellé de voie.1;Horaires d'ouverture;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;JOURS NR;Entrée - Accès [Accessibilité];Équipement;Entrée - Ouverture de porte [Accessibilité];Entrée - Obstacle à la porte d'entrée [Accessibilité];Circulation - Circulation dans les allées [Accessibilité];Circulation - Accès en fauteuil dans tout le lieu [Accessibilité];Circulation - Ascenseurs (dimensions) [Accessibilité];Services et équipements - Sanitaires [Accessibilité];Services et équipements - Personnel formé à l'accueil des personnes en situation de handicap [Accessibilité];Services et équipements - Personnel initié à la langue des signes [Accessibilité];Extérieur - Place de parking réservée [Accessibilité];Extérieur - Places GIC/GIR à proximité [Accessibilité];Extérieur - Transports accessibles à proximité [Accessibilité];Tarif;Photo.1;Photo.2;Photo.3;N° et libellé de voie.2;Code Insee commune.1;Code postal.1;Localité.1;N° et libellé de voie.3;Circulation - Signalétique adaptée [Accessibilité];Services et équipements - Hauteur adaptée des comptoirs / guichets [Accessibilité];services et équipements - Personnel formé à l'accueil des personnes en situation de handicap [Accessibilité];Services et équipements - Place réservée au PMR [Accessibilité];Extérieur - Enseigne suffisamment lisible et visible [Accessibilité];Spécificité territoriale;Circulation - Ascenseurs (adaptations) [Accessibilité];Photo.4;Photo.5;Photo.6;Photo.7;Photo.8;Flux d'actualité;Courriel;Horaires initiations et ateliers;Entrée - Accès contrôlé [Accessibilité];Circulation - Escaliers [Accessibilité];Services et équipements - Visites adaptées aux personnes ayant une déficience [Accessibilité];Entrée - Largeur de porte en cm [Accessibilité];Circulation - Guidage [Accessibilité];Blog;Extérieur - Trottoirs (Obstacles) [Accessibilité];Entrée - En cas de présence d'une marche, préciser sa hauteur en cm [Accessibilité];Rue, Voie, Chemin;Rue, Voie, Chemin.1;Fédération Nationale de Sport Numérique;Ateliers;Espace Public Numérique (EPN des Yvelines);Commentaire;Intitulé;Autre Site Web;Texte long;N° et libellé de voie.4;N° et libellé de voie.5;Code Insee commune.2;Code postal.2;Localité.2;Site Web2;Vidéo;Circulation - Plan du lieu [Accessibilité];NETPUBLIC;Site Web de Formation ORDIDACTIC60;Vidéo.1;Visio-accueil Pôle-Emploi;Le blog de la médiathèque;Fax;Ce flux présente les actualités locales de l'Espace Informatique Cyber-base®;Ce flux affiche les programmes des ateliers qui sont planifiés à l'Espace Informatique Cyber-base®;Services proposés.1;Villes Internet;Accueil de jeunes;Accueil de seniors;Organisation d'évènements;Centre d'Animation des Portes Ferrées;Personne à contacter.1;Image;N° et libellé de voie.6;Mission;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
Gironde;72 avenue de l'Église Romane 33370 ARTIGUES PRES BORDEAUX;4f3401a4de77fe55ff000598;14/02/2012;Ligue de l'enseignement fédération de Gironde;;0;0;http://www.liguefol33.asso.fr/;72 avenue de l'Église Romane;33013;33370;ARTIGUES PRES BORDEAUX;+33 5 56 44 52 25;contact@liguefol33.asso.fr;44.855685;-0.485719;8;Stéphane Delprat;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;9929;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.857871;-0.498732;72 Avenue de l'Église Romane 33370 Artigues-près-Bordeaux;0.91;housenumber;ADRNIVX_0000000276208154;72;Avenue de l'Église Romane;;33370;Artigues-près-Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33013
Gironde;Allée Bétailhe 33370 ARTIGUES PRES BORDEAUX;4f3401afde77fe55ff000695;14/02/2012;Mediathèque Gabriela Mistral;;0;0;http://www.mediatheque-artigues.com/;Allée Bétailhe;33013;33370;ARTIGUES PRES BORDEAUX;+33 5 56 33 86 90;gabrielamistral@mediatheque-artigues.com;44.858364;-0.497466;6;Evelyne Truant;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;10203;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.861196;-0.498611;Bétail 33370 Artigues-près-Bordeaux;0.7;street;33013_B005_c948ba;;Bétail;;33370;Artigues-près-Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33013
Gironde;Parc du Château Betailhe 33370 Artigues-près-Bordeaux;13B;;"PIJ – Espace jeunes ";PAPI;Jeunesse;;www.mairie-artigues-bordeaux.fr;Parc du Château Betailhe;13;33370;Artigues-près-Bordeaux;05 57 80 24 11;;pij.artigues@wanadoo.fr;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.863571;-0.492183;Allée du Parc 33370 Artigues-près-Bordeaux;0.58;street;33013_XXXX_11d347;;Allée du Parc;;33370;Artigues-près-Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33013
Gironde;" 33240 Asques";16A;;Bibliothèque publique;PAPI;Bibliothèque;;;;16;33240;Asques;;;asques.mairie.asques@wanadoo.fr;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.951059;-0.413084;Asques;0.92;municipality;33016;;Asques;;33240;Asques;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33016
Gironde;" 33190 Bagas";24A;;Bibliothèque publique;PAPI;Bibliothèque;;;;24;33190;Bagas;;;bagas@wanadoo.fr;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.624468;-0.056446;Bagas;0.92;municipality;33024;;Bagas;;33190;Bagas;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33024
Gironde;16 le Bourg 33750 Baron;28A;;Mairie;PAPI;Services publics;;;16 le Bourg;28;33750;Baron;05 57 24 17 28;;ptlect.@wanadoo.fr;;;Mme Margontier;;0;0;0;0;NR;;;;;;;Lundi au vendredi : 9h-12H/13h30-17H;1;2;3;4;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.821451;-0.313186;Le Bourg 33750 Baron;0.79;street;33028_B090_5b721e;;Le Bourg;;33750;Baron;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33028
Gironde;23 Place Paul Doumer 33720 Barsac;30A;;Bibliothèque municipale;PAPI;Bibliothèque;;www.barsac.fr;23 Place Paul Doumer;30;33720;Barsac;05 56 27 43 04;;bibliotheque@barsac.fr;;;François LAFFEYCHINE;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.607924;-0.316617;23 Place du Président Doumer 33720 Barsac;0.58;housenumber;ADRNIVX_0000000276555138;23;Place du Président Doumer;;33720;Barsac;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33030
Gironde;42 avenue Jean Jaurès 33530 BASSENS;4f3401a4de77fe55ff00059c;14/02/2012;Médiathèque municipale François Mitterrand;;0;0;;42 avenue Jean Jaurès;33032;33530;BASSENS;+33 5 57 80 81 78;mediatheque@ville-bassens.fr;44.899585;-0.516585;8;Maryse DOUMAX;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;9933;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.899808;-0.516574;42 Avenue Jean Jaurès 33530 Bassens;0.91;housenumber;ADRNIVX_0000000276133316;42;Avenue Jean Jaurès;;33530;Bassens;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33032
Gironde;" 33530 Bassens";32B;;Souris / CSF;PAPI;EducPop;;;;32;33530;Bassens;;;souriscsf@wanadoo.fr;;;;;0;0;0;0;NR;;;;;;;"Lundi/mardi/mercredi : 9h-12h/14h-17h30 jeudi : 10h-12h/14h-17h30 vendredi : 9h-12H ";1;2;3;4;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.902727;-0.517928;Bassens;0.92;municipality;33032;;Bassens;;33530;Bassens;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33032
Gironde;Le Bourg Mairie 33880 BAURECH;4f340215de77fe55ff000f87;14/02/2012;Bibliothèque Municipale;;0;0;;Le Bourg Mairie;33033;33880;BAURECH;+33 5 56 21 32 67;mairie.baurech@wanadoo.fr;44.732023;-0.43447;4;"Mme BAUSTERT - Responsable Bibliothèque
Mr KAYA - Permanences Internet";"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;7191;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.737891;-0.419312;La Metairie 33880 Baurech;0.52;street;33033_B039_ea7405;;La Metairie;;33880;Baurech;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33033
Gironde;17 esplanade Saint-Sauveur 33430 BAZAS;4f3401aede77fe55ff000680;14/02/2012;Bibliothèque;;0;0;http://www.mediathequebazas.net/;17 esplanade Saint-Sauveur;33036;33430;BAZAS;+33 5 56 65 12 46;mediatheque.bazas@orange.fr;44.43123;-0.214759;7;;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;10182;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.431399;-0.215281;17 Allée Saint-Sauveur 33430 Bazas;0.62;housenumber;ADRNIVX_0000000276615206;17;Allée Saint-Sauveur;;33430;Bazas;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33036
Gironde;20 avenue Paul Lamarque 33430 BAZAS;4f3401aede77fe55ff00067e;14/02/2012;BIJ;;0;0;;20 avenue Paul Lamarque;33036;33430;BAZAS;+33 5 56 65 49 51;bijbazas@yahoo.fr;44.431105;-0.223062;8;;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;10180;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.431899;-0.219652;20 Avenue du Professeur Paul Lamarque 33430 Bazas;0.66;housenumber;ADRNIVX_0000000276614542;20;Avenue du Professeur Paul Lamarque;;33430;Bazas;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33036
Gironde;17 Esplanade Saint Sauveur 33430 Bazas;36A;;Médiathèque;PAPI;Bibliothèque;;www.mediathequebazas.net;17 Esplanade Saint Sauveur;36;33430;Bazas;05.56.65.12.46;mediatheque.bazas@orange.fr;;;;Marie FELSMANN;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.431399;-0.215281;17 Allée Saint-Sauveur 33430 Bazas;0.62;housenumber;ADRNIVX_0000000276615206;17;Allée Saint-Sauveur;;33430;Bazas;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33036
Gironde;20, Av. Paul Lamarque 33430 Bazas;36B;;B@zas.jeunes ;PAPI;Jeunesse;;www.ville-bazas.fr/orgmpaj.htm;20, Av. Paul Lamarque;36;33430;Bazas;05 56 65 49 51;bijbazas@yahoo.fr ;;;;;;0;0;0;0;NR;;;;;;;Mercredi/jeudi : 14h-18h Vendredi : 9h30-18h;0;0;3;4;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.431899;-0.219652;20 Avenue du Professeur Paul Lamarque 33430 Bazas;0.55;housenumber;ADRNIVX_0000000276614542;20;Avenue du Professeur Paul Lamarque;;33430;Bazas;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33036
Gironde;21 avenue jeanne d'Arc Espace Jeunes Square de Suhl 33130 BEGLES;4f3401aede77fe55ff000687;14/02/2012;BIJ espace jeunes;;0;0;;21 avenue jeanne d'Arc Espace Jeunes Square de Suhl;33039;33130;BEGLES;+33 5 56 49 06 34;bij@mairie-begles.fr;44.800726;-0.55515;4;;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;10189;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.137279;1.274864;Square des Jeunes 87290 Châteauponsac;0.24;street;87041_B470_8e0b73;;Square des Jeunes;;87290;Châteauponsac;87, Haute-Vienne, Nouvelle-Aquitaine (Limousin);87041
Gironde;58, avenue du Maréchal de Lattre de Tassigny 33130 BEGLES;4f3401f3de77fe55ff000c89;14/02/2012;Bibliothèque Municipale de Bègles;;0;0;;58, avenue du Maréchal de Lattre de Tassigny;33039;33130;BEGLES;+33 5 56 49 54 81;bibliotheque@mairie-begles.fr;44.806394;-0.542762;8;"Dominique MITOU -
Cécile FAUCONNET";;0;0;0;0;NR;;5796;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.806053;-0.54297;58 Avenue Maréchal de Lattre de Tassigny 33130 Bègles;0.88;housenumber;ADRNIVX_0000002009365457;58;Avenue Maréchal de Lattre de Tassigny;;33130;Bègles;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33039
Gironde;21 rue Calixte Camelle 33130 Bègles;39B;;BIJ;PAPI;Jeunesse;;ijb.olympe-network.com;21 rue Calixte Camelle;39;33130;Bègles;05 56 49 06 34;bij@mairie-begles.fr;;;;;;0;0;0;0;NR;;;;;;;Lundi : 14h-18h Mardi/jeudi : 9h-12h30/14h-18h Mercredi/vendredi : 9h-12h30 (pendant les vacances scolaires,lundi au vendredi : 9h-12h30);1;2;3;4;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.807647;-0.547735;21 Rue Calixte Camelle 33130 Bègles;0.93;housenumber;ADRNIVX_0000000276347555;21;Rue Calixte Camelle;;33130;Bègles;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33039
