Nom;Présentation;Photo;Horaires d'ouverture;Services itinérants;Adresse;Complément d'adresse;Code Postal;Ville;Email de contact;Site internet;Téléphone;Parking à proximité;Accès transports en commun;Plan d'accès;Accessibilité;Lien Facebook;Lien Twitter;Lien Google+;Date de création de la fiche;Date de la dernière modification de la fiche;Pôle emploi;CPAM;CNAV;GRDF;La Poste;MSA;CAF;Agence départementale d'information sur le logement (ADIL);Agence locale de l’énergie (ALE);Banque de France;Cap Emploi;Centre communal d'action sociale (CCAS);Centre intercommunal d’action sociale (CIAS);Centre local d'information et de coordination (CLIC);Centre social;Chambre d'agriculture;Chambre de commerce et d'industrie (CCI);Chambre de métiers et de l'artisanat (CMA);Conseil départemental;Conseil départemental de l’accès au droit (CDAD);Croix-Rouge;Défenseur des droits;EDF;Fédération nationale des accidentés du travail et des handicapés (FNATH);Greta (formation continue pour les adultes);Maison de l'emploi;Maison départementale des personnes handicapées (MDPH);Médecine du travail;Mission locale;Plan local pour l'insertion et l’emploi (PLIE);Point d'accès au droit;Point d'appui à la vie associative;Point Info Famille;Point Info Jeunesse;Point Protection Maternelle Infantile;Préfecture;Protection, Amélioration, Conservation, Transformation de l'habitat (PACT);Régime social des indépendants (RSI);Réseau d'Ecoute, d'Appui et d'Accompagnement des Parents (REAAP);Trésor Public;Union de Recouvrement des Cotisations de Sécurité Sociale et d'Allocations Familiales (URSSAF);Union départementale des associations familiales (UDAF);Autre;Autres partenaires et services;Planning des permanences;Equipements à disposition;Autres équipements;Dans les mêmes locaux;Autres services dans les locaux;Année d'ouverture de la maison;Année de labellisation de la maison;Structure porteuse de la Maison de services au public;Appartenance à un réseau territorial;Connexion avec d'autres Maisons de services au public;Autres labels;Informations complémentaires
Ferel ( Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Mardi : 9h - 12h 14h 16h15 Mercredi : 9h - 12h 14h 16h15 Jeudi : 9h - 12h 14h 16h15 Vendredi : 9h - 12h 14h 16h15 Samedi : 9h - 12h;Non;8 place de la Mairie;;56130;Férel;msap.ferel@laposte.fr;;;Oui;;Non;;;;;16/03/2017;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;03/01/2017;29/12/2016;La Poste;;;;
Fleurance;La Maison des Services Publics est devenue Maison de Services Au Public. Un changement d’intitulé décidé par l’Etat en adéquation avec les objectifs de cette structure : - Maintenir une offre de services publics de proximité et de qualité à l’attention de toute la population - Permettre l’accès à l’information - Mettre en place un accompagnement pour la réalisation des démarches de la vie quotidienne Chaque jour vous pouvez rencontrer une animatrice de la M.S.A.P. qui saura vous conseiller et vous aider dans de nombreux domaines : emploi, prestations sociales, accès aux droits,… La Ville de Fleurance met aussi à votre disposition un équipement informatique en libre-accès et la possibilité d’organiser des rencontres via webcam avec des conseillers CPAM et CAF. La M.S.A.P. est surtout un véritable carrefour des services publics grâce à la présence de nombreux partenaires pour des permanences régulières ou sur rendez-vous dont: - La Mutualité Sociale Agricole - La Mission Locale - La Maison Départementale des Personnes Handicapées - Le Centre Local d’Information et de Coordination pour les personnes âgées - Le Centre d’Information sur les Droits des Femmes et des Familles - L’association d’Aide aux Victimes et à la Médiation Pénale - Le Centre Communal d’Action Sociale de la Ville de Fleurance (action sociale et services aux familles : petite enfance, enfance et jeunesse) - Néoproxy (service d’aide à domicile) - Conciliateur de justice - Service Pénitentiaire d’insertion et de Probation - Les Jardins de Cocagne Les services de l’Unité Territoriale de l’Action Sociale du Conseil Départemental sont basés à la MSAP avec Horaires d’ouverture de la Maison de Services Au Public : - Du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h (vendredi 16h30) La Maison de Services Au Public est portée par la Ville de Fleurance avec le soutien de l’État.;Oui;Lundi : 8h30 - 12h30 / 13h30 - 17h Mardi : 8h30 - 12h30 / 13h30 - 17h Mercredi : 8h30 - 12h30 / 13h30 - 17h Jeudi : 8h30 - 12h30 / 13h30 - 17h Vendredi : 8h30 - 12h30 / 13h30 - 16h30;Non;62 rue Adolphe Cadéot;;32500;Fleurance;ccas.accueil@villefleurance.fr;Site internet;0562640204;Oui;;Non;Handicap auditif, Handicap mental, Handicap moteur, Handicap visuel;;;;24/02/2016;29/05/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Ateliers informatiques et numériques avec un animateur spécialisé le jeudi et le vendredi avec des créneaux d'ateliers et des temps d'accès publics. Neoproxy (service d'aide à domicile) Les Jardins de Cocagne Conciliateur de justice Centre d'Information des Droits des Femmes et des Familles;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone|Visio conférence|Wifi;;;;02/01/2012;02/01/2012;Ville de Fleurance;;;;
Fleurey-sur-Ouche ( Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Mardi 08h30-12h00 -14h30-16h50  Mercredi 08h30-12h00  Jeudi 08h30-12h00-13h30-15h50 Vendredi 08h30-12h00 13h30-15h50  Samedi 09h00 -12h00;Non;1 rue du Sophora;;21410;Fleurey-sur-Ouche;msap.fleurey-sur-ouche@laposte.fr;;;Oui;;Non;;;;;19/07/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;19/07/2016;19/07/2016;La Poste;;;;
Fleurie (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi : 8h30 - 12h / 14h15 - 16h30 Mardi : 8h30 - 12h / 14h15 - 16h30 Mercredi : 8h30 - 12h / 14h15 - 16h30 Jeudi : 8h30 - 12h / 14h15 - 16h30 Vendredi : 8h30 - 12h / 14h15 - 16h30 Samedi : 9h - 12h  ;Non;Rue Wettolsheim;Résidence Le Verdonnet;69820;Fleurie;msap.fleurie@laposte.fr;;04 74 04 18 97;Oui;;Non;Handicap auditif, Handicap mental, Handicap moteur;;;;03/10/2016;07/03/2018;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;19/09/2016;19/09/2016;La Poste;;;;
Fleury sur Andelle (Bureau de poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi : 9h-12h 14h30-17h Mardi : 9h-12h 14h30-17h Mercredi : 9h-12h Jeudi : 9h-12h 14h30-17h Vendredi : 9h-12h 14h30-17h Samedi : 9h-12h;Non;6 rue Augustin Léonard;;27380;Fleury-sur-Andelle;msap.fleury-sur-andelle@laposte.fr;;;Oui;;Non;;;;;25/11/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;11/10/2016;11/10/2016;La Poste;;;;
Forcalquier;La MSAP du Pays de Forcalquier-Montagne de Lure est située en centre ville et existe sous différentes dénominations depuis le mois de mars 1996. Les organismes publics et associations y tiennent régulièrement des permanences physiques ou en visio-guichet à la demande ou sur leur proposition. Les agents d'accueil sont formés et disposés à vous aider dans l'accomplissement de nombreuses démarches administratives d'accès aux droits et aux prestations. L'accueil est libre mais les démarches peuvent parfois nécessiter une prise de rendez-vous à court terme. Un espace informatique/Internet est aussi à votre disposition pour faciliter vos démarches en ligne, la constitution et l'impression de courriers administratifs et de CV. L'espace peut aussi être utilisé par des personnes en situation de formation ouverte à distance.;Oui;Le dispositif est ouvert : Lundi : 9h00 - 12h00 Mardi : 9h00 - 12h00 et 14h00 - 17h30 Mercedi : 9h00 - 12h00 et 14h00 - 17h30 Jeudi : 9h00 - 12h00 et 14h00 - 17h30 Vendredi : 9h00 - 12h00 et 14h00 - 17h30;Non;11 rue louis andrieux;;04300;Forcalquier;msap@forcalquier-lure.com;;0492754621;Oui;;Non;Handicap moteur;;;;24/02/2016;26/06/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;LA LIGUE DE L'ENSEIGNEMENT - ISATIS - CSAPA 04 - SOUTIEN SCOLAIRE 04 PARRAINAGE FAMILIAL - HAUTE PROVENCE INITIATIVE ( CREATION D'ACTIVITE), IMPOTS, CARSAT;Non;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone|Visio conférence|Wifi;;;;15/03/1996;15/03/2016;COMMUNUATE DES COMMUNES PAYS DE FORCALQUIER ET MONTAGNE DE LURE;ADRETS;;ESPACE RURAL EMPLOI FORMATION/POINT PUBLIC/RELAIS SERVICES PUBLICS;
Forêts du Perche - La Ferté-Vidame;La Maison de services au public de la Communauté de Communes des Forêts du Perche, inaugurée en 2016, vous accueille sur deux sites où nos animatrices (Nathalie et Véronique à La Ferté-Vidame et Laëtitia à Senonches) sont présentes pour vous conseiller, vous aider et vous orienter. Les rendez-vous des permanences sociales se tiennent également à la MSAP.;Oui;Lundi : 9h/12h Mardi : 9h/12h - 14h/16h Mercredi:  9h/12h - 14h/16h Jeudi : 9h/12h - 14h/17h Vendredi : 9h/12h - 14h/16h;;29 rue de Laborde;;28340;La Ferté-Vidame;msap@foretsduperche.fr;;Tél : 02 37 37 64 17 ;Oui;;Non;Handicap auditif, Handicap mental, Handicap moteur, Handicap visuel;;;;13/01/2017;10/02/2017;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Caisse d’Allocations Familiales d’Eure-et-Loir, Caisse Primaire d’Assurance Maladie d’Eure et Loir, CARSAT Centre-Val de Loire, MSA Beauce Cœur de Loire, La Poste , Pôle emploi, Relais Emploi Senonches / La Ferté-Vidame, Aide à Domicile en Milieu Rural (A.D.M.R), Permanences Sociales Départementales, Assistante Sociale, Maison Départementale de l’Autonomie, Protection maternelle et infantile (PMI), Mission Locale du Drouais, ADS Emploi, Association G.R.A.C.E.S, Soins Infirmiers à Domicile (S.I.A.D.);Oui;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone|Wifi;;Bureau de Poste|Médiathèque;;11/07/2016;09/11/2016;Communauté de Communes des Forêts du Perche;;Forêts du Perche - Senonches;;Pour toutes informations : Mme Laëtitia VALENTI-GAUTHIER / Tel : 02 37 37 37 30 / msap@foretsduperche.fr
Forêts du Perche - Senonches;La Maison de services au public de la Communauté de Communes des Forêts du Perche, inaugurée en 2016, vous accueille sur deux sites où nos animatrices (Laëtitia à Senonches, Nathalie et Véronique à La Ferté-Vidame et ) sont présentes pour vous conseiller, vous aider et vous orienter. Les rendez-vous des permanences sociales se tiennent également à la MSAP.;Oui;Lundi : 9h/12h - 14h/17h Mardi : 9h/12h - 14h/17h Mercredi:  9h/12h Jeudi : 9h/12h - 14h/17h Vendredi : 9h/12h;;2 rue de Verdun;;28250;Senonches;msap@foretsduperche.fr;;02 37 37 37 30;Oui;;Non;Handicap auditif, Handicap mental, Handicap moteur, Handicap visuel;;;;13/01/2017;20/01/2017;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Caisse d’Allocations Familiales d’Eure-et-Loir, Caisse Primaire d’Assurance Maladie d’Eure et Loir, CARSAT Centre-Val de Loire, MSA Beauce Cœur de Loire, La Poste , Pôle emploi, Relais Emploi Senonches / La Ferté-Vidame, Aide à Domicile en Milieu Rural (A.D.M.R), Permanences Sociales Départementales, Assistante Sociale, Maison Départementale de l’Autonomie, Protection maternelle et infantile (PMI), Mission Locale du Drouais, ADS Emploi, Association G.R.A.C.E.S, Soins Infirmiers à Domicile (S.I.A.D.);Oui;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone|Wifi;;Centre communal d'action sociale (CCAS);Relais Emploi;11/07/2016;09/11/2016;Communauté de Communes des Forêts du Perche;;Forêts du Perche - La Ferté-Vidame;;Contact : Madame LAETITIA VANLENTI GAUTHIER / Tel : 02 37 37 37 30
Fournes en Weppes ( Bureau de poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi : 9h - 12h 14h - 17h Mardi  : 9h - 12h Mercredi  : 9h - 12h 14h - 17h Jeudi  : 9h - 12h 14h - 17h Vendredi  : 9h - 12h 14h - 17h Samedi  : 9h - 12h;Non;1170 rue Faidherbe;;59134;Fournes-en-Weppes;msap.fournes-en-weppes@laposte.fr;;;Oui;;Non;;;;;16/03/2017;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;01/03/2017;16/02/2017;La Poste;;;;
Frangy (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;lundi mardi mercredi jeudi vendredi : 08h30-12h 14h-17h samedi : 08h30-12h;Non;67 rue de la poste;;74270;Frangy;msap.frangy@laposte.fr;;;Oui;;Non;;;;;25/11/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;25/11/2016;25/11/2016;La Poste;;;;
Frasne (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi : 9h - 12h 14h 17h Mardi :  9h - 12h 14h 17h Mercredi :  9h - 12h Jeudi :  9h - 12h 14h 17h Vendredi :  9h - 12h 14h 17h samedi :  9h - 12h;Non;18 rue de la gare;;25560;Frasne;msap.frasne@laposte.fr;;;Oui;;Non;;;;;25/11/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;01/02/2017;02/02/2017;La Poste;;;;
Fresnes-en-Woëvre;;Oui;Lundi: Fermée Mardi: 8h30 - 12h30 Mercredi: 8h30 - 12h30 et 13h30 - 17h30 Jeudi: 14h - 18h Vendredi: 8h30 -12h30 et 13h30 - 17h30;Non;16 rue des Eparges;(à coté de la Maison de Santé);55160;Fresnes-en-Woëvre;msap.fresnes@orange.fr;;03 29 84 23 89;Oui;;Non;Handicap auditif, Handicap mental, Handicap moteur, Handicap visuel;;;;07/11/2017;04/05/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;ADAPAH UNA, ILCG, ADMR, SECOURS CATHOLIQUE, ASSOCIATION LES COLOMBES;Non;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone|Visio conférence|Wifi;;;Deux associations d'aide à domicile ont leur siège social dans les locaux : l'ADMR et Les Colombes;;21/11/2017;Communauté de communes du Territoire de Fresnes;;;;
Fretigney et Velloreille;Maison de Services au Public située dans les locaux de la mairie de Fretigney et Velloreille. Les locaux ont été rénovés début 2016 et sont donc neufs et accessibles à tous.;Oui;Lundi 13h30 - 17h00 Mardi 9h00 - 16h00 Mercredi 13h30 - 17h30 Jeudi 8h30 - 12h00 Vendredi 13h30 - 17h00 Samedi 8h30 - 12h00;Oui;21 grande rue;Mairie;70130;Fretigney-et-Velloreille;pvs.fretigney@gmail.com;Site internet;03 84 78 20 28;Non;Bus depuis Vesoul, cinq fois par jour.;Non;Handicap auditif, Handicap mental, Handicap moteur, Handicap visuel;http://www.facebook.com/Commune-de-Fretigney-1543056419266685/?ref=settings;;;24/02/2016;26/02/2018;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Mutualité Française;Oui;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone|Visio conférence|Wifi;;Bibliothèque|Centre communal d'action sociale (CCAS)|Mairie|Maison des associations;;02/07/2012;01/01/2013;Mairie;réseau MSAP Haute-Saône;;;
Frontignan;"Située 5 Rue Lucien Salette en centre ville, cette structure d'environ 120m² est constituée d'une salle d'attente, d'un espace d’accueil, d'un espace numérique, d'une grande salle de réunion et d'un bureau de confidentialité. Animée par deux animatrices d’accueil, la MSAP permet d’accueillir, d'informer et d'orienter tous les publics. L'accompagnement individuel au numérique s'effectue exclusivement sur les services en ligne de nos partenaires (le pôle emploi, la caisse d'allocation familiale, Véolia et Enédis). D'autres partenariats sont en cours d'élaboration et se formaliseront en fonction des besoins identifiés. Des permanences au sein de la structure sont assurées par la BGE, l'APPIJE, l'ACCES et un conciliateur de justice. Nous proposons également des ateliers collectifs ""outiller ma candidature"" et des informations collectives sur différentes thématiques. Véritable outil de proximité et d’accès au droits, nous mettons en place chaque premier jour de réactualisation des moments d'échanges et de convivialités très appréciés des usagers.";Oui;Lundi : 9h 12h - 13h30 16h45 Mardi: 9h 12h Mercredi : 9h 12h - 13h30 16h45 Jeudi : 9h 12h Vendredi : 9h 12h - 13h30 16h30;Non;5 rue Lucien Salette;;34110;Frontignan;g.monti@frontignan.fr;Site internet;0467185064;Oui;"Train SNCF Bus ""thau agglo et hérault transport""";Non;Handicap moteur;;;;15/09/2017;22/06/2018;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Veolia, Inforim, ACCES, APIJE, Profil Emploi;Non;;;;;;;Commune;;;;
Fumay;Les agents des Maisons de Services Au Public sont là pour vous renseigner, vous informer, vous aider dans vos recherches administratives de tous ordres et dans tous les domaines.;Oui;Lundi , Mardi, Mercred et Jeudi   : 09h00-12h00 - 14h00-17h00 vendredi : 9h00-12h00  14h00/16h30  ;Non;rue Francis de Pressencé;;08170;Fumay;msap.fumay@orange.fr;;0324410507;Oui;;Non;Handicap moteur;;;;24/02/2016;13/03/2017;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Oui;Oui;CARSAT;Non;Accès Internet|Fax|Imprimante|Photocopieuse|Scanner|Téléphone;;Centre social;;26/06/2008;26/06/2008;centre social Fumay-Charnois-Animation;Réseau des Maisons des Services Au public des Ardennes;;;
Gacé ( Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi 9h-12h 14h-17h Mardi 9h-12h 14h-17h Mercredi 9h-12h 14h-17h Jeudi 9h-12h 14h-17h Vendredi 9h-12h 14h-17h Samedi 9h-12h;Non;RUE DE MANET;;61230;Gacé;msap.gace@laposte.fr;;;Oui;;Non;;;;;22/12/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;15/12/2016;02/01/2017;La Poste;;;;
Galeria (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;LUNDI 9h-12.30h mardi 9h-12.30h mercredi 9h-12.30h jeudi 9h-12.30h vendredi 9h-12.30h samedi 9h-12.30h;Non;Au bourg;;20245;Galéria;msap.galeria@laposte.fr;;;Oui;;Non;;;;;25/11/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Agence d'Aménagement durable, d'Urbanisme et d'Energie de la Corse;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;17/10/2016;17/10/2016;La Poste;;;;
Galgon ( Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;LUNDI : 9H - 12H 14H - 16H30 MARDI : 9H - 12H 14H - 16H30 MERCREDI : 9H - 12H 14H - 16H30 JEUDI : 9H - 12H 14H - 16H30 VENDREDI : 9H - 12H 14H - 16H30 SAMEDI : 9H - 12H;Non;7 PLACE DU MARCHE;;33133;Galgon;msap.galgon@laposte.fr;;;Oui;;Non;;;;;22/12/2016;07/05/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;09/01/2017;09/01/2017;La Poste;;;;
Geaune ( Bureau de Poste );Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui; Mardi :9h-12h   14h-15h15 Mercredi :9h-12h  14h-15h15 Jeudi :9h-12h  14h-15h15 Vendredi: 9h-12h  14h-15h45 Samedi : 9h-12h  ;Non;2 RUE DE LA POSTE;;40320;Geaune;msap.geaune@laposte.fr;Site internet;;Oui;;Non;Handicap auditif, Handicap mental;;;;04/01/2017;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;22/12/2016;22/12/2016;La Poste;;;;
